名称,公司名字,工作地点,薪酬,工作经验,招聘人员,公司规模,技能要求,标签,描述,名称_链接,公司_链接
数据分析师,吉盟珠宝,深圳·罗湖区·水贝,10-15K·13薪,3-5年本科,欧阳女士高级人力资源管理师,贸易/进出口不需要融资1000-9999人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据建模
                                        ",数据分析,餐补，定期体检，全勤奖，带薪年假，中秋节福利，三八节福利，新年礼包，交通补助，五险一金，团建补助，补充医疗保险，加班补助，通讯补贴，员工旅游，节日福利，生日福利，年终奖,https://www.zhipin.com/job_detail/79e40e60f29010e31nV-0tm-EldQ.html,https://www.zhipin.com/gongsi/534d77c64054a2140H1639m5.html
数据分析师,元保数科,北京,20-40K·15薪,3-5年本科,周先生招聘者,医疗健康B轮500-999人,"
                                                    SQL
                                        ",SQL,全勤奖，定期体检，节日福利，五险一金，带薪年假，零食下午茶，年终奖，员工旅游,https://www.zhipin.com/job_detail/92fbbee95d0a885b1nVy2NS9F1BZ.html,https://www.zhipin.com/gongsi/07197036decb83430XJ7296-EA~~.html
数据分析师,上海小牛互娱,上海·浦东新区·张江,15-30K·13薪,3-5年本科,蒋先生数据分析总监,互联网不需要融资500-999人,"
                                                    数据分析
                                                    数据仓库
                                                    商业分析
                                                    Python
                                                    hive
                                        ",数据分析,员工旅游，定期体检，节日福利，零食下午茶，住房补贴，五险一金，全勤奖，年终奖，加班补助，带薪年假，餐补,https://www.zhipin.com/job_detail/0dd381c532907d881nR82dq7GFBX.html,https://www.zhipin.com/gongsi/b5be17648cbb97a71n1729i7Ew~~.html
数据分析师,红海科技,北京·朝阳区·中央别墅区,18-30K,在校/应届本科,胡先生招聘者,游戏不需要融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,免费班车，节日福利，提供宿舍，员工旅游，五险一金，年终奖，包吃，股票期权，零食下午茶,https://www.zhipin.com/job_detail/d8a28fe1db2984991nRz3t--FlVX.html,https://www.zhipin.com/gongsi/187d9df9a31c21800HV92968.html
数据分析师,凯盛浩丰,青岛·城阳区·上马,3-5K,经验不限本科,盛女士销售经理,食品/饮料/烟酒C轮100-499人,"
                                                    数据分析
                                                    数据采集
                                        ",数据分析,餐补，节日福利，五险一金,https://www.zhipin.com/job_detail/27577fd8e3a53e2f1nRz3NW6EFRV.html,https://www.zhipin.com/gongsi/61ba4ef9d3e8eda71nd_0tW9FFU~.html
数据分析师,莉莉丝游戏,上海·闵行区·虹桥,18-30K·16薪,3-5年本科,张先生HR,游戏未融资1000-9999人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,五险一金，零食下午茶，员工旅游，定期体检，带薪年假，年终奖，节日福利，加班补助,https://www.zhipin.com/job_detail/b455a92e7dd3f5011nR-3t27E1NU.html,https://www.zhipin.com/gongsi/056e2261259a7e151nxy2N2-.html
数据分析师,武汉新东方培训学校,武汉·武昌区·中南路,7-9K,1-3年本科,杨先生HRBP,培训机构已上市1000-9999人,"
                                                    数据分析
                                        ",数据分析,节日福利，加班补助，餐补，零食下午茶，五险一金，员工旅游，定期体检，年终奖,https://www.zhipin.com/job_detail/de4b7ea3286d2cfe1nV_09S0EVdX.html,https://www.zhipin.com/gongsi/e523a4292b58ba861nF43ty_Fg~~.html
数据分析师,传音控股,深圳·南山区·科技园,28-35K·16薪,5-10年本科,吴女士HR,移动互联网已上市10000人以上,"
                                                    SQL
                                                    python
                                                    spark
                                                    算法
                                        ",SQL,年终奖，五险一金，交通补助，零食下午茶，住房补贴，定期体检，通讯补贴，节日福利，餐补，带薪年假，补充医疗保险，免费班车，员工旅游,https://www.zhipin.com/job_detail/3ab40898c52161261nV90tm6EVtV.html,https://www.zhipin.com/gongsi/3d0b6629203bb0b61nJy3t-0.html
数据分析师,通联数据,南京·建邺区·奥体,4-6K,1-3年本科,王女士HR,互联网不需要融资500-999人,"
                                                    SQL
                                                    数据分析
                                                    数据挖掘
                                                    数据采集
                                                    大数据
                                        ",SQL,带薪年假，节日福利，交通补助，通讯补贴，年终奖，餐补，五险一金，零食下午茶，补充医疗保险，定期体检,https://www.zhipin.com/job_detail/0a6ab70dc43153751nR829-6EVNW.html,https://www.zhipin.com/gongsi/0f1f9bbdcda46bad1XN-0g~~.html
数据分析师,万拓科创VANTOP,深圳·南山区·西丽,15-30K·13薪,5-10年本科,朱女士HR,互联网A轮500-999人,"
                                                    数据分析
                                                    数据仓库
                                                    Python
                                                    SQL
                                                    数据挖掘
                                        ",数据分析,文娱生活，年终奖，发展空间，公共假期，其它福利，13薪，五险一金，年终奖金，零食下午茶，带薪年假，节日福利，员工旅游,https://www.zhipin.com/job_detail/7c3a877f10bb63201nV50tS7FlpU.html,https://www.zhipin.com/gongsi/056cc03247f7a1a81nZy2dS-EA~~.html
数据分析师,中证征信,深圳·福田区·会展中心,14-22K·14薪,1-3年硕士,宋先生招聘者,其他专业服务不需要融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,补充医疗保险，通讯补贴，带薪年假，五险一金，节日福利，定期体检，年终奖,https://www.zhipin.com/job_detail/cd67c45280dfe67b1nRz09S4E1JZ.html,https://www.zhipin.com/gongsi/33c2556eae1328971HR_2Nm4Fw~~.html
数据分析师,中经惠众,北京·海淀区·北太平庄,15-25K,5-10年本科,罗女士招聘者,计算机软件不需要融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    ETL
                                        ",数据分析,餐补，带薪年假，零食下午茶，通讯补贴，加班补助，交通补助，节日福利，五险一金,https://www.zhipin.com/job_detail/5d1255addfdd988f1nRz3Ni6E1pQ.html,https://www.zhipin.com/gongsi/b76e8e9fed05a15133Z93924.html
数据分析师,胖达信息技术,杭州·滨江区·长河,15-25K·14薪,3-5年本科,汤女士HRBP,互联网C轮500-999人,"
                                                    数据分析
                                                    PowerBI
                                        ",数据分析,餐补，股票期权，节日福利，加班补助，定期体检，五险一金，年终奖，全勤奖，员工旅游，带薪年假,https://www.zhipin.com/job_detail/75132f35f1479d5c1nRz3d-6GVpQ.html,https://www.zhipin.com/gongsi/165b40dde9cbcc6c1XN42N61GA~~.html
数据分析师,深圳商软,佛山·顺德区·勒流,10-15K,3-5年本科,刘女士招聘顾问,互联网不需要融资100-499人,"
                                                    Python
                                                    SQL
                                                    R
                                                    SPSS
                                        ",Python,全勤奖，五险一金,https://www.zhipin.com/job_detail/1e1e6f42f14c143d1nV929-7EFRV.html,https://www.zhipin.com/gongsi/1a77ab4c7912acde3n153tS4.html
数据分析师,阿里巴巴集团,杭州·余杭区·五常,25-45K·16薪,3-5年硕士,马先生数据挖掘,互联网已上市10000人以上,"
                                                    数据分析
                                                    商业分析
                                                    SQL
                                                    Python
                                                    R
                                        ",数据分析,补充医疗保险，加班补助，五险一金，定期体检，节日福利，股票期权，年终奖，交通补助，餐补，免费班车，带薪年假，员工旅游,https://www.zhipin.com/job_detail/d7dd7c1b1d0f01121nR92di6E1VT.html,https://www.zhipin.com/gongsi/5d627415a46b4a750nJ9.html
数据分析师,百度在线,北京·海淀区·上地,15-30K·14薪,3-5年硕士,李先生招聘者,互联网已上市10000人以上,"
                                                    数据分析
                                        ",数据分析,补充医疗保险，五险一金，带薪年假，定期体检，通讯补贴，股票期权，年终奖,https://www.zhipin.com/job_detail/6d6553cc7dfe9bf51nR53Ny-FFNV.html,https://www.zhipin.com/gongsi/ccb3335c82c3f7ac1XV83du4.html
数据分析师,北京新氧科技,北京·朝阳区·来广营,13-26K·14薪,1-3年本科,张先生PM,互联网已上市1000-9999人,"
                                                    BI
                                                    Excel
                                                    SPSS
                                                    Hive
                                                    SQL
                                        ",BI,五险一金，零食下午茶，通讯补贴，节日福利，年终奖，加班补助，餐补，补充医疗保险，员工旅游，交通补助，股票期权，带薪年假，定期体检,https://www.zhipin.com/job_detail/b61ce5e462339a921nV92dm8FFNX.html,https://www.zhipin.com/gongsi/78b5ef2c8c4f227d1nZ739o~.html
数据分析师,蚂蚁金服,杭州·西湖区·黄龙,30-40K·16薪,1-3年硕士,薛先生高级策略专家,互联网金融D轮及以上10000人以上,"
                                                    网络安全
                                                    SQL
                                                    Python
                                        ",网络安全,餐补，零食下午茶，交通补助，免费班车，员工旅游，股票期权，加班补助，年终奖，五险一金，节日福利，补充医疗保险，定期体检，带薪年假,https://www.zhipin.com/job_detail/7bcefaa7fef678ad1nV8096-FlJV.html,https://www.zhipin.com/gongsi/6bbb9e0ebe9d06461nd_09--.html
数据分析师,顺丰科技,深圳·南山区·科技园,20-40K,3-5年本科,张先生大数据开发,互联网不需要融资1000-9999人,"
                                                    数据分析
                                        ",数据分析,年终奖，加班补助，零食下午茶，定期体检，五险一金，餐补，通讯补贴，带薪年假，免费班车，员工旅游，节日福利，交通补助，包吃，股票期权,https://www.zhipin.com/job_detail/bbf9b6421396ce771nV_2966FFJY.html,https://www.zhipin.com/gongsi/df7dc13a6c68726a1XR53Q~~.html
数据分析师,鲍洱跨境电子商务,杭州·滨江区·长河,15-30K·13薪,1-3年本科,曾女士人事经理,电子商务未融资20-99人,"
                                                    数据分析
                                                    商业分析
                                                    Python
                                        ",数据分析,加班补助，周末双休，员工旅游，餐补，提供午餐，带薪年假，五险一金，节日福利，年终奖,https://www.zhipin.com/job_detail/ed67f8cefc6e48061nR43t66GFVV.html,https://www.zhipin.com/gongsi/5a3ae36c9b2bfa021nV90tu5GVE~.html
数据分析师,信安数据,广州·黄埔区·科学城,11-22K·13薪,3-5年本科,张先生项目经理,数据服务A轮20-99人,"
                                                    SQL
                                                    Python
                                                    BI  
                                                    算法
                                        ",SQL,通讯补贴，年终奖，带薪年假，定期体检，零食下午茶，节日福利，五险一金,https://www.zhipin.com/job_detail/dc3f37029c7874ab1nV92dW7FlBX.html,https://www.zhipin.com/gongsi/56645005e384b5791nd83Nq6Fw~~.html
数据分析师,舟谱数据,北京·朝阳区·左家庄,20-40K·15薪,3-5年本科,朱女士招聘专家,移动互联网B轮500-999人,"
                                                    数据分析
                                                    数据挖掘
                                                    商业分析
                                        ",数据分析,餐补，交通补助，通讯补贴，节日福利，带薪年假，员工旅游，股票期权，年终奖，五险一金，零食下午茶，定期体检,https://www.zhipin.com/job_detail/279f967d9d340e3c1nV-39S6EFVW.html,https://www.zhipin.com/gongsi/9938bf8bb73df93033J63di8.html
数据分析师,VIPKID,北京·朝阳区·高碑店,15-30K·14薪,3-5年本科,刘女士hr,移动互联网D轮及以上10000人以上,"
                                                    数据分析
                                                    SQL
                                                    MySQL
                                                    在线教育
                                                    业务分析
                                        ",数据分析,住房补贴，五险一金，餐补，带薪年假，定期体检，六险一金，通讯补贴，免费班车，补充医疗保险，交通补助，节日福利,https://www.zhipin.com/job_detail/fb6f11d9aaa268f61nR-09q9E1pZ.html,https://www.zhipin.com/gongsi/ebad8a37af8239c11Xx92Q~~.html
数据分析师,深圳市云歌人工智...,北京,25-35K,5-10年本科,苏先生HRBP,移动互联网天使轮20-99人,"
                                                    SQL
                                        ",SQL,年终奖，五险一金，节日福利，零食下午茶，带薪年假，餐补，加班补助，定期体检，员工旅游,https://www.zhipin.com/job_detail/4e1fdbd3b7ad814c1nVy3t67F1dT.html,https://www.zhipin.com/gongsi/5654885791da7e7e1XRy3ti5Fg~~.html
数据分析师,美柚,厦门,11-20K,1-3年本科,何女士hr,移动互联网D轮及以上500-999人,"
                                                    SQL
                                                    Python
                                                    Excel
                                        ",SQL,定期体检，五险一金，年终奖，零食下午茶，补充医疗保险，节日福利，员工旅游，餐补，股票期权，带薪年假,https://www.zhipin.com/job_detail/889abbe8b6dd2a991nVy2tW9E1pT.html,https://www.zhipin.com/gongsi/a1b9f02a058a7b660X192tq4Ew~~.html
数据分析师,云程科技,上海·浦东新区·张江,12-15K,5-10年大专,郭女士HRM,互联网未融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据开发
                                                    数据库开发
                                                    数据采集
                                        ",数据分析,全勤奖，节日福利，定期体检，五险一金，员工旅游,https://www.zhipin.com/job_detail/4244f3f0d8d907451nV829-4FVNU.html,https://www.zhipin.com/gongsi/d0b4cdde7c3ad8011HV73Nq1.html
数据分析师,中国铁道科学研究院,北京·海淀区·公主坟,18-23K,5-10年硕士,杨先生人力资源,互联网不需要融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据仓库
                                                    DBA
                                                    Python
                                        ",数据分析,带薪年假，餐补，补充医疗保险，五险一金，年终奖，定期体检，全勤奖,https://www.zhipin.com/job_detail/c86a9cfb27b04ad11nR82t65EVtZ.html,https://www.zhipin.com/gongsi/68f4328cf8c7957b0HF42tq5FA~~.html
数据分析师,杭州比智科技有限公司,杭州·余杭区·仓前,15-25K,5-10年本科,田女士HRBP,数据服务B轮100-499人,"
                                                    数据分析
                                        ",数据分析,年终奖，股票期权，五险一金，带薪年假,https://www.zhipin.com/job_detail/9b673365f99033b81nV_0t65FFBW.html,https://www.zhipin.com/gongsi/ff03c143680bcd5303d739u_.html
数据分析师,赢商网,广州·天河区·珠江新城,9-12K·16薪,1-3年本科,林女士招聘负责人,移动互联网B轮100-499人,"
                                                    数据分析
                                        ",数据分析,定期体检，员工旅游，带薪年假，五险一金，年终奖，交通补助，通讯补贴，住房补贴,https://www.zhipin.com/job_detail/543e5975371243ff1nV82dq8FFdT.html,https://www.zhipin.com/gongsi/44b64e410b64bc111HB42tu-.html
数据分析师,云南创网科技有限...,昆明·西山区·船房,6-7K·13薪,经验不限本科,苏女士HRD,互联网未融资100-499人,"
                                                    数据分析
                                                    数据开发
                                                    Python
                                                    Tableau
                                                    SQL
                                        ",数据分析,补充医疗保险，员工旅游，全勤奖，带薪年假，五险一金，年终奖，节日福利,https://www.zhipin.com/job_detail/59887daf514342861nV73Ni1EFVT.html,https://www.zhipin.com/gongsi/a6c917320b18fdd51XB53t68Fw~~.html
数据分析师,古茗茶饮,杭州·萧山区·钱江世纪城,30-50K·14薪,3-5年本科,文先生招聘者,生活服务不需要融资1000-9999人,"
                                                    数据分析
                                                    大数据
                                        ",数据分析,年终奖，五险一金，员工旅游，零食下午茶，节日福利，加班补助，带薪年假,https://www.zhipin.com/job_detail/017eaa75bd032c591nR50tq4FlpV.html,https://www.zhipin.com/gongsi/e2c139738502fbae1HZ709S0.html
数据分析师,如祺出行,广州·海珠区·琶洲,12-20K·13薪,1-3年本科,吴先生人力资源副总监,互联网未融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,带薪年假，节日福利，补充医疗保险，五险一金，年终奖，通讯补贴，餐补,https://www.zhipin.com/job_detail/b6b55197f948c8101nV43N66EVZT.html,https://www.zhipin.com/gongsi/c2c6002d92393f5d0HZy29S0Ew~~.html
数据分析师,gfk,北京·朝阳区·国贸,15-30K·13薪,5-10年本科,顾女士HRBP,咨询未融资100-499人,"
                                                    SQL
                                                    Python
                                        ",SQL,定期体检，五险一金，补充医疗保险,https://www.zhipin.com/job_detail/7f2c8740aa895c3f1nV93t28FlJW.html,https://www.zhipin.com/gongsi/4591db18107b264a1HV_3di9FA~~.html
数据分析师,乐浪服饰,杭州·江干区·九堡,6-8K,1-3年本科,邱先生招聘者,电子商务未融资20-99人,"
                                                    数据分析
                                                    数据挖掘
                                                    商业分析
                                                    数据架构师
                                                    数据采集
                                        ",数据分析,加班补助，全勤奖,https://www.zhipin.com/job_detail/9c137878e95db2f21nRy0t27FlFZ.html,https://www.zhipin.com/gongsi/3939d33f3e391cd81HJ739i_GA~~.html
数据分析师,HUAK华热科技,北京·朝阳区·柳芳,15-25K,5-10年本科,武女士人力资源部经理,计算机软件不需要融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据库
                                        ",数据分析,,https://www.zhipin.com/job_detail/25832e1c00d088df1nR82NS-EVE~.html,https://www.zhipin.com/gongsi/6512296d0fad24850nF90ty0.html
数据分析师,河南东泠,郑州·二七区·新郑大,8-13K,3-5年本科,孙女士HR主管,计算机软件未融资20-99人,"
                                                    数据分析
                                                    数据挖掘
                                                    Python
                                                    R
                                                    SAS
                                        ",数据分析,五险一金，带薪年假，员工旅游，定期体检,https://www.zhipin.com/job_detail/6d544df3c83de2f91nR53tm4FlVX.html,https://www.zhipin.com/gongsi/18b2224383e611501Hx72t6_Eg~~.html
数据分析师,隆安集团,北京·朝阳区·红庙,9-10K,3-5年本科,顾女士招聘经理,其他专业服务未融资100-499人,"
                                                    数据分析
                                        ",数据分析,带薪年假，节日福利，员工旅游，定期体检，餐补，年终奖，补充医疗保险，五险一金,https://www.zhipin.com/job_detail/5c286fafd018017e1nR-0966F1RW.html,https://www.zhipin.com/gongsi/36eddc34a463a1f60HB_3dm7Eg~~.html
数据分析师,点众科技,北京,15-25K·14薪,3-5年本科,李女士招聘主管,移动互联网不需要融资100-499人,"
                                                    数据分析
                                                    SQL
                                                    hive
                                                    Tableau
                                                    Hive
                                        ",数据分析,年终奖，员工旅游，带薪年假，节日福利，餐补，定期体检，加班补助，五险一金，通讯补贴，零食下午茶,https://www.zhipin.com/job_detail/90903e752f41f7c91nV52tq6ElZR.html,https://www.zhipin.com/gongsi/613126d748e945011XN93tQ~.html
数据分析师,河南慧审,郑州·二七区·兴华南街,5-10K,1-3年大专,陈女士行政人事,计算机软件20-99人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,,https://www.zhipin.com/job_detail/cdaaf4b365077dd71nV_3Nu4GFtU.html,https://www.zhipin.com/gongsi/1b393cff19870d461nZ42Ny-ElI~.html
数据分析师,润德跆拳道,广州·番禺区·市桥,6-8K,3-5年本科,赵先生总经理,在线教育未融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据仓库
                                                    商业分析
                                                    数据采集
                                        ",数据分析,年终奖，员工旅游，带薪年假，五险，定期体检，节日福利,https://www.zhipin.com/job_detail/e60400220c67f88a1nR70tW6EldV.html,https://www.zhipin.com/gongsi/7784cb5a07d161bf03Zy3tq7.html
数据分析师,Kdan Mobile,长沙,7-11K·13薪,1-3年本科,贺女士人事,移动互联网A轮20-99人,"
                                                    SQL
                                                    Python
                                        ",SQL,零食下午茶，五险一金，股票期权，员工旅游，年终奖，带薪年假，节日福利，定期体检,https://www.zhipin.com/job_detail/ed606fc1502614a71nV93tW9EVJW.html,https://www.zhipin.com/gongsi/75c1d17fe920cdb903R_3dg~.html
数据分析师,一点资讯,北京·朝阳区·望京,10-12K·14薪,在校/应届本科,张女士数据分析,移动互联网D轮及以上500-999人,"
                                                    Python
                                                    SQL
                                                    Excel
                                                    SPSS
                                                    Hadoop
                                        ",Python,五险一金，补充医疗保险，定期体检，带薪年假，股票期权，员工旅游,https://www.zhipin.com/job_detail/a3ffcbcaa1a6687a1nV929m6F1RV.html,https://www.zhipin.com/gongsi/7a2b06c8787b8fb30nBz2A~~.html
数据分析师,德润拓培,青岛·市南区·浮山所,5-8K,经验不限大专,董先生经理,培训机构0-20人,"
                                                    DBA
                                        ",DBA,,https://www.zhipin.com/job_detail/dda713ed1f81b17e1nR72dq8E1ZY.html,https://www.zhipin.com/gongsi/9d132c4082506cdf1nRy3ti1F1Q~.html
数据分析师,宏勃生物,上海·浦东新区·周浦,12-24K,3-5年本科,陈女士人事,医疗设备/器械不需要融资20-99人,"
                                                    数据分析
                                                    荟萃分析 
                                                    meta分析
                                        ",数据分析,生日福利，零食下午茶，五险一金，年终奖，节日福利，定期体检，提供午餐，带薪年假,https://www.zhipin.com/job_detail/b023d649b5edafd71nRz2dm-F1dU.html,https://www.zhipin.com/gongsi/1027958d178e47610nF52d61EA~~.html
数据分析师,杭州数空科技有限公司,日照·东港区·大学城,8-12K,1-3年本科,韩女士HR,移动互联网A轮100-499人,"
                                                    数据分析
                                                    SQL
                                                    Python
                                                    MySQL
                                                    R
                                        ",数据分析,住房补贴，带薪年假，五险一金，年终奖，股票期权，零食下午茶，节日福利，氛围，定期体检,https://www.zhipin.com/job_detail/c3c1cd48e399532a1nR-296-FldV.html,https://www.zhipin.com/gongsi/34db1ca34a8043310XZ83Nm0.html
数据分析师,衡水韵达快运服务公司,衡水·桃城区·永安路,5-7K,1-3年本科,邱女士人事主管,其他服务业100-499人,"
                                                    商业分析
                                                    数据仓库
                                                    数据挖掘
                                        ",商业分析,,https://www.zhipin.com/job_detail/75895a6a3884cc5b1nV63Ni0E1VT.html,https://www.zhipin.com/gongsi/330a4ed2776f4cc41nZ43tm4FlY~.html
数据分析师,卓盟商务咨询,昆明·盘龙区·席子营,6-7K,3-5年本科,王先生项目经理,其他服务业未融资20-99人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据架构师
                                                    R
                                        ",数据分析,五险一金，年终奖，带薪年假，交通补助，节日福利,https://www.zhipin.com/job_detail/14cd3da7aa766c731nR-2t-8FVBW.html,https://www.zhipin.com/gongsi/6ad284b4ef2cbfd70XJ82N-5GA~~.html
数据分析师,金鼓新生,青岛·崂山区·石老人啤酒城商圈,5-7K,3-5年本科,吕先生风险管理部总经理,租赁/拍卖/典当/担保天使轮100-499人,"
                                                    数据分析
                                                    商业分析
                                                    数据建模
                                        ",数据分析,定期团建，定期体检，年终奖，带薪年假，亲情工资，补充医疗保险，零食下午茶，节日福利,https://www.zhipin.com/job_detail/4658957f935cbdef1nV_3tW0EFJT.html,https://www.zhipin.com/gongsi/34136af89ba55e3403V_3tm5Fw~~.html
数据分析师,美高梅茶楼,北京·东城区·朝阳门,10-15K,1-3年本科,李女士人事经理,餐饮0-20人,"
                                                    金融
                                                    二级市场衍生品
                                        ",金融,,https://www.zhipin.com/job_detail/e78fd561819291de1nV939u7GFtQ.html,https://www.zhipin.com/gongsi/44bae1f59da58f9f3nZz3ti1FA~~.html
数据分析师,中科大旗,成都·双流区·华阳,6-10K,1-3年本科,李先生大数据实验室部门经理,计算机软件A轮100-499人,"
                                                    数据仓库
                                                    电商
                                                    互联网
                                                    大数据
                                                    数据架构
                                        ",数据仓库,节日福利，定期体检，年终奖，加班补助，带薪年假，五险一金，零食下午茶,https://www.zhipin.com/job_detail/3b6fb57183b6e6261nZ62t69EVdQ.html,https://www.zhipin.com/gongsi/26b2f01d5a6518930nxz0ti-FA~~.html
数据分析师,爱生生命,深圳·南山区·华侨城,8-10K,3-5年本科,刘先生CEO,医疗健康A轮20-99人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,零食下午茶，员工旅游，五险一金，通讯补贴，定期体检，年终奖，带薪年假，股票期权，节日福利,https://www.zhipin.com/job_detail/d1d3cfaa2b6c1d231nV_3t6_E1NX.html,https://www.zhipin.com/gongsi/68509bbaa72ecb0903d82d-6Eg~~.html
数据分析师,泽达智能,洛阳·瀍河回族区·新街,4-5K,经验不限本科,孟女士人事,机械设备/机电/重工未融资20-99人,"
                                                    Excel
                                                    相关分析
                                                    环境数据分析
                                        ",Excel,定期体检，加班补助，股票期权，补充医疗保险，年终奖，五险一金，全勤奖,https://www.zhipin.com/job_detail/02a197619e23ce9e1nZ629m9EFVT.html,https://www.zhipin.com/gongsi/064822170023e08a1XV_092-GA~~.html
数据分析师,经纬智图,天津·滨海新区·开发区,4-5K,经验不限大专,郑女士经理,互联网未融资100-499人,"
                                                    数据分析
                                                    网络
                                                    测绘
                                        ",数据分析,,https://www.zhipin.com/job_detail/46d32d2d6ac5d4131nV_3Ny4F1I~.html,https://www.zhipin.com/gongsi/f9b0fd25625043530XN52NS1.html
数据分析师,深源宝,厦门·思明区·观音山,3-4K,经验不限大专,B女士HR,电子商务不需要融资0-20人,"
                                                    数据分析
                                                    数据库
                                                    excel
                                        ",数据分析,,https://www.zhipin.com/job_detail/20d7fa38aeb32c111nJ42921GVY~.html,https://www.zhipin.com/gongsi/df9ff338b5180be51nd73NS5Fw~~.html
数据分析师,网聚云,南昌·红谷滩区·名门世家,4-9K,经验不限大专,戴女士人事专员,计算机软件不需要融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据采集
                                                    数据开发
                                                    数据库开发
                                        ",数据分析,住房补贴，五险一金，年终奖，加班补助，交通补助，节日福利,https://www.zhipin.com/job_detail/fb03e0054679de951nV729m0FlpZ.html,https://www.zhipin.com/gongsi/00a57149a9fda0671nZz2t60EFs~.html
数据分析师,悦然心动,武汉·洪山区·关山,9-14K,经验不限本科,雷先生HR,互联网已上市100-499人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,定期体检，零食下午茶，年终奖，餐补，五险一金，节日福利，员工旅游，带薪年假，交通补助，补充医疗保险,https://www.zhipin.com/job_detail/254de6ddda0f7f791nR-0t2-FlJW.html,https://www.zhipin.com/gongsi/272f76d20e4cc34803B629W0.html
数据分析师,盛达瑞公司,深圳·南山区·科技园,9-12K,3-5年本科,李女士HRBP,数据服务不需要融资100-499人,"
                                                    Python
                                                    Excel
                                                    Mysql
                                        ",Python,带薪年假，交通补助，餐补，零食下午茶，节日福利，五险一金，员工旅游，全勤奖，定期体检,https://www.zhipin.com/job_detail/6b72d2dc8e5872651nZ-3ty_E1JX.html,https://www.zhipin.com/gongsi/0d876d9e60c86a101Hx-2Nq4Fw~~.html
数据分析师(实习),树根互联,北京·海淀区·上地,200-250元/天,3天/周3个月硕士,赵女士项目经理助理,互联网C轮500-999人,"
                                                    数据分析
                                                    Python
                                                    R
                                                    大数据
                                        ",数据分析,餐补，带薪年假，五险一金，年终奖，员工旅游，股票期权，交通补助，定期体检，节日福利,https://www.zhipin.com/job_detail/df8664c72db0b77d1nR73NS8EVNX.html,https://www.zhipin.com/gongsi/38bc88ea64ea16371nd-3NW8EQ~~.html
数据分析师,国电环保科技,南京·浦口区·高新区,6-11K,1-3年本科,刘女士招聘者,环保未融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,五险一金，定期体检,https://www.zhipin.com/job_detail/0a22d753ac33a6291nV_3dy5EVBX.html,https://www.zhipin.com/gongsi/df5c36b7165767c20nJ52dm8Fg~~.html
数据分析师,胡椒科技,唐山·路北区·鹭港,4-6K,3-5年本科,苏先生招聘者,广告/公关/会展0-20人,"
                                                    数据分析
                                                    商业分析
                                                    数据架构师
                                                    SQL
                                                    Excel
                                        ",数据分析,,https://www.zhipin.com/job_detail/3514c96a804ed1701nR42dy9E1dX.html,https://www.zhipin.com/gongsi/1d872498a1a5158e0nZz3tW4FQ~~.html
数据分析师,日益兴电子,深圳·龙岗区·龙岗中心城,1-2K,1-3年大专,李先生招聘者,贸易/进出口未融资0-20人,"
                                                    数据分析
                                        ",数据分析,带薪年假，年终奖,https://www.zhipin.com/job_detail/8ff9f552edac413b1nR429m7FlFY.html,https://www.zhipin.com/gongsi/0211c6c33db136391HZ72929FA~~.html
数据分析师,昆明咨创,昆明·盘龙区·新迎小区,3-4K,1-3年本科,黄女士经理,其他服务业0-20人,"
                                                    咨询领域
                                        ",咨询领域,,https://www.zhipin.com/job_detail/39b84b4888729c6b1nV90t64E1ZS.html,https://www.zhipin.com/gongsi/5cb3310bb3332bd11nd-2N--ElQ~.html
数据分析师,四川运泽,成都·武侯区·环球中心,10-15K,1-3年本科,L先生副总经理,O2O不需要融资20-99人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据处理
                                        ",数据分析,年终奖，五险一金，餐补，交通补助，带薪年假,https://www.zhipin.com/job_detail/270df636f5b2cca11nJ52N-9GFs~.html,https://www.zhipin.com/gongsi/a9218328ccf0af671nZ-0tw~.html
数据分析师,河南轩梓软件,昆明·西山区·前卫,6-8K,1-3年本科,祝先生项目总监,数据服务0-20人,"
                                                    SQL
                                                    数据分析
                                                    数据治理
                                                    Oracle
                                        ",SQL,,https://www.zhipin.com/job_detail/0ed1294356621acf1nV_3t21FFZV.html,https://www.zhipin.com/gongsi/96fa1ced209ac3a11nZy29m6F1o~.html
