客户编码,R,F,M,labels
S20643,6,49,6474703.0,0
S20644,0,36,5472128.0,0
S20654,50,8,1108499.0,2
S20663,42,62,8863816.0,0
S20667,59,34,4604350.0,1
S20675,15,37,5957739.0,0
S20717,44,12,1618423.0,1
S20740,8,13,1607364.0,1
S20747,1,54,7765000.0,0
S20750,37,10,1986575.0,1
S20751,23,8,1334315.0,1
S20784,1,23,3136792.0,1
S20792,3,20,3111748.0,1
S20797,34,36,4334525.0,1
S20800,20,38,5295568.0,0
S20802,58,11,1888265.0,2
S20808,14,16,2569066.0,1
S20830,22,16,2747292.0,1
S20834,89,16,2941776.0,2
S20837,12,47,6275537.0,0
S20849,25,49,6279301.0,0
S20853,30,55,8027549.0,0
S20864,200,8,1118752.0,2
S20877,37,23,3097163.0,1
S20878,15,17,2588088.0,1
S20891,60,21,2707588.0,2
S20896,5,44,5828196.0,0
S20906,7,21,2363618.0,1
S20933,42,36,4314408.0,1
S20935,6,12,1594644.0,1
S20945,74,5,351094.0,2
S20946,14,25,3049914.0,1
S20947,22,22,3552363.0,1
S20955,84,12,1397544.0,2
S20992,67,15,1944612.0,2
S20995,6,53,7307778.0,0
S20997,22,24,3847121.0,1
S21024,19,39,5591232.0,0
S21036,49,29,3412696.0,1
S21043,12,49,6533271.0,0
S21058,7,32,4169501.0,1
S21059,13,32,4843250.0,1
S21120,3,16,1793628.0,1
S21157,4,20,3382691.0,1
S21166,2,25,3002767.0,1
S21168,28,45,4997677.0,0
S21193,9,3,402270.0,1
S21216,7,10,1346459.0,1
S21234,27,24,2989057.0,1
S21246,5,21,3307122.0,1
S21250,0,25,3617000.0,1
S21255,8,32,4394947.0,1
S21258,148,9,1534489.0,2
S21267,10,15,2629891.0,1
S21278,4,34,5227064.0,0
S21315,1,25,3140571.0,1
S21324,2,47,7042156.0,0
S21325,7,82,11909428.0,0
S21335,14,28,3454010.0,1
S21358,52,38,5053177.0,0
S21365,29,54,7494361.0,0
S21374,18,48,6745149.0,0
S21377,35,14,2558903.0,1
S21383,76,20,2957787.0,2
S21387,29,16,1864026.0,1
S21395,78,20,3702229.0,2
S21396,43,25,3414148.0,1
S21405,45,14,2238387.0,1
S21411,16,12,1834568.0,1
S21452,147,9,1307745.0,2
S21503,105,15,2364549.0,2
S21514,4,43,6083405.0,0
S21521,6,34,5238461.0,0
S21531,0,57,7953045.0,0
S21536,0,22,2323819.0,1
S21595,8,43,5769279.0,0
S21647,32,30,4541553.0,1
S21656,18,37,5840218.0,0
S21677,18,24,3149949.0,1
S21685,11,22,3199825.0,1
S21696,18,35,4819814.0,0
S21701,21,54,7106865.0,0
S21705,22,13,1604255.0,1
S21714,2,50,7405477.0,0
S21735,26,43,7367580.0,0
S21738,99,13,1516497.0,2
S21747,24,37,5320835.0,0
S21760,19,23,3757221.0,1
S21763,49,32,4491034.0,1
S21805,74,15,2113283.0,2
S21827,156,12,1579474.0,2
S21838,7,54,8272389.0,0
S21846,66,9,1566788.0,2
S21887,127,12,1361538.0,2
S21890,15,37,5845627.0,0
S21933,67,9,1182365.0,2
S21939,13,37,5492669.0,0
S21940,40,25,3706283.0,1
S21964,2,40,4901572.0,0
S21976,61,25,3519520.0,1
S21980,39,13,1539944.0,1
S21996,0,24,3099394.0,1
S21997,160,13,1374726.0,2
S22004,46,25,3786346.0,1
S22032,14,47,5686060.0,0
S22035,122,15,2128781.0,2
S22050,4,11,1693141.0,1
S22072,12,43,5497194.0,0
S22088,60,12,1997981.0,2
S22090,15,25,3252166.0,1
S22121,31,30,3921006.0,1
S22123,37,33,4443361.0,1
S22126,50,31,4427389.0,1
S22142,42,11,1777726.0,1
S22146,73,19,3521637.0,2
S22152,118,13,1826746.0,2
S22155,53,19,2446681.0,1
S22161,29,24,2950566.0,1
S22173,15,49,7773754.0,0
S22188,25,40,5120688.0,0
S22214,18,47,6221260.0,0
S22253,17,26,3321470.0,1
S22256,57,43,5760934.0,0
S22258,17,31,3660070.0,1
S22259,37,44,5654835.0,0
S22268,3,26,3562384.0,1
S22269,4,39,6246763.0,0
S22272,24,19,2433727.0,1
S22274,37,15,2923670.0,1
S22287,0,3,720165.0,1
S22289,5,54,8038893.0,0
S22297,38,38,5607522.0,0
S22301,13,40,5782922.0,0
S22326,0,62,10074609.0,0
S22350,10,35,5006536.0,0
S22374,37,10,1417451.0,1
S22391,1,47,7766918.0,0
S22399,2,50,6452178.0,0
S22401,55,10,1149686.0,2
S22423,2,43,5903222.0,0
S22442,11,38,5744625.0,0
S22445,16,38,6301947.0,0
S22502,11,42,5736682.0,0
S22510,101,13,1745707.0,2
S22515,0,42,6111998.0,0
S22524,11,47,5255568.0,0
S22553,13,55,8869499.0,0
S22562,83,36,4007105.0,2
S22577,81,27,3259601.0,2
S22578,7,42,5545091.0,0
S22618,13,29,4381253.0,1
S22623,13,21,2752281.0,1
S22631,24,43,7511042.0,0
S22640,42,24,3427472.0,1
S22659,43,39,6248408.0,0
S22660,21,32,4797422.0,1
S22665,30,8,1082916.0,1
S22679,21,38,5677072.0,0
S22680,14,30,3837041.0,1
S22693,7,25,3705104.0,1
S22695,40,20,2841539.0,1
S22702,22,37,5242388.0,0
S22706,20,46,6202709.0,0
S22714,6,35,4579137.0,0
S22743,25,46,5807466.0,0
S22744,0,52,7249028.0,0
S22753,12,36,3639328.0,1
S22773,13,80,10784143.0,0
S22793,4,51,6576136.0,0
S22796,27,54,7983943.0,0
S22813,92,27,3400988.0,2
S22814,4,40,5800563.0,0
S22825,45,11,995423.0,1
S22845,13,22,2627146.0,1
S22854,22,33,5474010.0,0
S22878,90,6,696614.0,2
S22885,69,12,1266554.0,2
S22887,0,44,5614524.0,0
S22919,54,23,3174909.0,1
S22925,0,31,3449117.0,1
S22930,47,33,4539500.0,1
S22955,7,48,5142429.0,0
S22960,10,27,3724366.0,1
S22963,3,36,5731252.0,0
S22968,11,14,1815858.0,1
S22973,66,26,4883924.0,1
S22984,12,50,6332695.0,0
S23002,5,32,4940958.0,1
S23003,56,21,3726475.0,1
S23008,59,9,1194679.0,2
S23010,7,19,2099264.0,1
S23019,25,39,6004061.0,0
S23023,61,43,6240314.0,0
S23033,41,9,1058644.0,1
S23038,3,21,2606725.0,1
S23045,4,42,5161498.0,0
S23047,25,27,4120427.0,1
S23051,31,6,358118.0,1
S23062,25,9,1111022.0,1
S23081,15,15,2367383.0,1
S23112,62,32,5870833.0,0
S23119,12,68,8146101.0,0
S23139,62,21,2259247.0,2
S23144,9,39,5041591.0,0
S23207,38,19,2629213.0,1
S23214,0,16,2208865.0,1
S23247,83,18,1935552.0,2
S23249,6,53,7445347.0,0
S23256,3,55,8292537.0,0
S23299,2,25,3732414.0,1
S23312,9,55,6530420.0,0
S23313,9,42,6219869.0,0
S23337,21,10,1468376.0,1
