客户编码,R,F,M,labels
S11101,18,29,3203467.0,1
S11104,33,59,8427203.0,0
S11176,113,7,614134.0,2
S11188,2,44,5755711.0,0
S11205,29,42,6069559.0,0
S11209,61,12,1573868.0,2
S11227,0,8,1033613.0,1
S11231,54,21,2994922.0,1
S11237,78,9,1309836.0,2
S11245,4,8,909678.0,1
S11282,101,8,948107.0,2
S11285,39,14,1683378.0,1
S11296,0,39,4820334.0,0
S11303,83,12,1630543.0,2
S11329,22,11,1303330.0,1
S11333,84,28,4216727.0,2
S11334,70,34,5046321.0,1
S11353,9,14,1774869.0,1
S11366,48,23,3119937.0,1
S11368,25,72,11123830.0,0
S11371,5,33,4598679.0,1
S11381,43,26,3756101.0,1
S11385,37,25,3481156.0,1
S11386,102,6,988654.0,2
S11390,15,28,3400867.0,1
S11401,16,20,2372320.0,1
S11411,27,30,4389447.0,1
S11412,43,41,6260571.0,0
S11423,68,21,3218866.0,2
S11446,45,10,2340716.0,1
S11447,29,18,2643589.0,1
S11460,28,61,8591787.0,0
S11472,45,9,1162383.0,1
S11506,6,46,6930796.0,0
S11510,58,11,1165092.0,2
S11543,119,19,2112655.0,2
S11546,12,50,6937955.0,0
S11581,2,79,10333668.0,0
S11596,4,34,4582295.0,1
S11602,0,29,4430713.0,1
S11609,0,42,7326027.0,0
S11611,211,10,1487966.0,2
S11622,17,44,5808850.0,0
S11644,16,37,4444755.0,0
S11667,66,28,4122160.0,1
S11671,20,33,4764444.0,1
S11673,85,11,1510096.0,2
S11674,57,37,5599586.0,0
S11677,25,39,5671556.0,0
S11685,79,20,2495148.0,2
S11690,8,58,8404880.0,0
S11691,57,16,2695185.0,2
S11708,16,34,5526545.0,0
S11743,26,27,4488918.0,1
S11773,0,26,3009549.0,1
S11778,42,17,2052638.0,1
S11785,7,13,2145440.0,1
S11812,17,34,5777373.0,0
S11827,57,7,617540.0,2
S11832,17,43,5017092.0,0
S11834,6,20,2303094.0,1
S11856,82,12,1693518.0,2
S11871,3,42,5350519.0,0
S11874,14,32,4804622.0,1
S11908,205,9,1552311.0,2
S11915,110,6,949882.0,2
S11955,23,31,4067426.0,1
S11956,15,11,1954886.0,1
S11957,18,52,7997458.0,0
S11971,11,28,2657909.0,1
S11995,56,12,1763408.0,2
S11996,17,13,1675497.0,1
S12021,18,20,3764304.0,1
S12026,107,32,4230189.0,2
S12047,36,14,2210486.0,1
S12086,44,40,5888363.0,0
S12095,9,10,1467171.0,1
S12100,83,17,2521749.0,2
S12103,56,27,3560800.0,1
S12106,1,53,8006875.0,0
S12110,19,50,6363728.0,0
S12118,4,24,4096655.0,1
S12122,15,13,1126953.0,1
S12158,17,26,3286165.0,1
S12163,22,39,5816516.0,0
S12176,55,23,2713304.0,1
S12196,63,10,1528659.0,2
S12220,74,22,2885284.0,2
S12234,6,13,2420998.0,1
S12236,37,24,3207001.0,1
S12239,15,13,1611338.0,1
S12256,8,44,7304556.0,0
S12266,5,21,3518771.0,1
S12270,91,35,4401704.0,2
S12272,2,32,4531767.0,1
S12273,92,10,1872360.0,2
S12331,16,29,4059461.0,1
S12347,135,23,2776609.0,2
S12358,60,28,3355122.0,1
S12374,15,53,7464783.0,0
S12385,9,40,4789276.0,0
S12401,115,5,1111204.0,2
S12411,25,29,4080066.0,1
S12418,9,29,3391302.0,1
S12446,33,32,4172761.0,1
S12453,122,17,2079219.0,2
S12455,9,33,4353415.0,1
S12463,172,7,345919.0,2
S12467,32,31,4011448.0,1
S12471,19,30,3895055.0,1
S12494,6,9,2125627.0,1
S12498,119,11,1420349.0,2
S12504,17,9,1154483.0,1
S12523,47,33,5534537.0,0
S12533,21,11,1810979.0,1
S12547,1,9,1312667.0,1
S12572,129,45,5465772.0,2
S12578,2,39,5254330.0,0
S12592,15,43,5474777.0,0
S12599,6,16,2863683.0,1
S12608,94,16,2457221.0,2
